STATION,NAME,DATE,Year,Month,PRCP,TAVG,TMAX,TMIN,,Location,Month,Mean,StDev,ln(Mean),ln(StDev)
USC00064767,"MIDDLETOWN 4 W, CT US",1881-02,1881,2-Feb,4.8,24.8,33.7,15.8,,Newark,2-Feb,24.664,4.389,3.205344691,1.479101411
USC00064767,"MIDDLETOWN 4 W, CT US",1881-03,1881,3-Mar,6.26,36.1,42.9,29.3,,Newark,3-Mar,32.743,3.463,3.488689199,1.242135265
USC00064767,"MIDDLETOWN 4 W, CT US",1881-04,1881,4-Apr,1.76,44.8,56,33.5,,Newark,4-Apr,42.506,2.581,3.749645242,0.948176921
USC00064767,"MIDDLETOWN 4 W, CT US",1881-05,1881,5-May,4.6,61.1,72.6,49.6,,Newark,5-May,52.738,2.573,3.965336258,0.945072533
USC00064767,"MIDDLETOWN 4 W, CT US",1881-06,1881,6-Jun,3.57,62.7,73.6,51.7,,Newark,6-Jun,61.918,2.488,4.125810929,0.911479175
USC00064767,"MIDDLETOWN 4 W, CT US",1881-07,1881,7-Jul,2.43,71.2,82.4,60,,Newark,7-Jul,67.51,2.442,4.212275735,0.892817376
USC00064767,"MIDDLETOWN 4 W, CT US",1881-08,1881,8-Aug,2.87,72.2,82.8,61.7,,Newark,8-Aug,66.088,2.727,4.190987187,1.003202104
USC00064767,"MIDDLETOWN 4 W, CT US",1881-09,1881,9-Sep,0.49,69.1,79.4,58.9,,Newark,9-Sep,58.816,2.697,4.074413927,0.992140044
USC00064767,"MIDDLETOWN 4 W, CT US",1881-10,1881,10-Oct,1.52,54.9,65.9,43.9,,Newark,10-Oct,47.785,2.897,3.866711783,1.063675719
USC00064767,"MIDDLETOWN 4 W, CT US",1881-11,1881,11-Nov,4.52,42,51,32.9,,Newark,11-Nov,38.052,3.026,3.638953645,1.107241615
USC00064767,"MIDDLETOWN 4 W, CT US",1881-12,1881,12-Dec,4.23,36.7,45,28.4,,Newark,12-Dec,28.393,4.409,3.346142636,1.483647906
USC00064767,"MIDDLETOWN 4 W, CT US",1882-01,1882,1-Jan,4.28,24.4,33,15.7,,Norfolk,1-Jan,12.669,5.26,2.539158065,1.660131027
USC00064767,"MIDDLETOWN 4 W, CT US",1882-02,1882,2-Feb,4.78,29.7,39.1,20.3,,Norfolk,2-Feb,13.272,4.781,2.585656553,1.56464973
USC00064767,"MIDDLETOWN 4 W, CT US",1882-03,1882,3-Mar,3.66,37.1,46.1,28.1,,Norfolk,3-Mar,21.72,4,3.078233495,1.386294361
USC00064767,"MIDDLETOWN 4 W, CT US",1882-04,1882,4-Apr,1.49,44.3,55.1,33.4,,Norfolk,4-Apr,33.149,2.625,3.50101255,0.965080896
USC00064767,"MIDDLETOWN 4 W, CT US",1882-05,1882,5-May,4.4,52.4,63.4,41.4,,Norfolk,5-May,44.01,2.62,3.784416881,0.963174318
USC00064767,"MIDDLETOWN 4 W, CT US",1882-06,1882,6-Jun,1.85,67.6,80.4,54.8,,Norfolk,6-Jun,53.115,2.149,3.972459374,0.765002618
USC00064767,"MIDDLETOWN 4 W, CT US",1882-07,1882,7-Jul,2.2,72.4,83.9,61,,Norfolk,7-Jul,58.103,2.126,4.062217298,0.75424228
USC00064767,"MIDDLETOWN 4 W, CT US",1882-08,1882,8-Aug,1.26,71.2,83.7,58.6,,Norfolk,8-Aug,56.486,2.168,4.03399282,0.773805084
USC00064767,"MIDDLETOWN 4 W, CT US",1882-09,1882,9-Sep,11.65,64.1,72.7,55.6,,Norfolk,9-Sep,49.129,2.51,3.894449492,0.920282753
USC00064767,"MIDDLETOWN 4 W, CT US",1882-10,1882,10-Oct,4.71,54.4,63.1,45.8,,Norfolk,10-Oct,38.483,2.792,3.650216585,1.026758185
USC00064767,"MIDDLETOWN 4 W, CT US",1882-11,1882,11-Nov,1.41,37.2,45.9,28.5,,Norfolk,11-Nov,29.567,2.746,3.386658875,1.010145307
USC00064767,"MIDDLETOWN 4 W, CT US",1882-12,1882,12-Dec,2.67,26.4,34.5,18.4,,Norfolk,12-Dec,18.323,5.021,2.908157101,1.613629117
USC00064767,"MIDDLETOWN 4 W, CT US",1883-01,1883,1-Jan,3.38,21.8,29.5,14.2,,Storrs,1-Jan,17.297,4.723,2.850533076,1.552444191
USC00064767,"MIDDLETOWN 4 W, CT US",1883-02,1883,2-Feb,3.65,26.1,35,17.2,,Storrs,2-Feb,17.822,4.304,2.880433649,1.459544823
USC00064767,"MIDDLETOWN 4 W, CT US",1883-03,1883,3-Mar,2.3,29,39,19.1,,Storrs,3-Mar,26.179,3.587,3.264957563,1.277316199
USC00064767,"MIDDLETOWN 4 W, CT US",1883-04,1883,4-Apr,1.58,45.2,55.9,34.5,,Storrs,4-Apr,35.956,2.53,3.582295969,0.928219303
USC00064767,"MIDDLETOWN 4 W, CT US",1883-05,1883,5-May,2.72,58.5,70.7,46.2,,Storrs,5-May,45.727,2.392,3.822688933,0.872129836
USC00064767,"MIDDLETOWN 4 W, CT US",1883-06,1883,6-Jun,1.96,70.7,81.9,59.4,,Storrs,6-Jun,54.829,2.332,4.004219251,0.846726268
USC00064767,"MIDDLETOWN 4 W, CT US",1883-07,1883,7-Jul,3.07,72.9,84.9,60.8,,Storrs,7-Jul,60.285,2.408,4.099083317,0.878796527
USC00064767,"MIDDLETOWN 4 W, CT US",1883-08,1883,8-Aug,1.85,67.9,81.1,54.7,,Storrs,8-Aug,58.732,2.48,4.072984723,0.90825856
USC00064767,"MIDDLETOWN 4 W, CT US",1883-09,1883,9-Sep,2.33,60.3,71.9,48.7,,Storrs,9-Sep,51.62,2.549,3.943909194,0.935701125
USC00064767,"MIDDLETOWN 4 W, CT US",1883-10,1883,10-Oct,5.63,49,59.4,38.6,,Storrs,10-Oct,41.232,2.865,3.719214654,1.05256835
USC00064767,"MIDDLETOWN 4 W, CT US",1883-11,1883,11-Nov,1.51,41.8,51,32.4,,Storrs,11-Nov,32.341,3.022,3.476335775,1.105918864
USC00064767,"MIDDLETOWN 4 W, CT US",1883-12,1883,12-Dec,3.6,27.6,36.7,18.6,,Storrs,12-Dec,22.042,4.577,3.092949724,1.521043762
USC00064767,"MIDDLETOWN 4 W, CT US",1884-01,1884,1-Jan,5.27,22.4,30.4,14.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-02,1884,2-Feb,6.01,31.4,38.2,24.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-03,1884,3-Mar,4.69,33.6,42.1,25.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-04,1884,4-Apr,3.21,46,55.8,36.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-05,1884,5-May,3.55,58,69.8,46.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-06,1884,6-Jun,4.76,68.6,83,54.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-07,1884,7-Jul,4.56,69.4,80,58.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-08,1884,8-Aug,5.33,70.1,80.3,59.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-09,1884,9-Sep,1.5,65.9,77.1,54.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-10,1884,10-Oct,3.57,52.2,61.7,42.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-11,1884,11-Nov,2.9,40.2,50.8,29.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1884-12,1884,12-Dec,7.2,31.3,39.2,23.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-01,1885,1-Jan,4.85,26.7,36.2,17.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-02,1885,2-Feb,3.97,19.2,29,9.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-03,1885,3-Mar,1.2,27.7,37.8,17.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-04,1885,4-Apr,2.39,48.1,61,35.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-05,1885,5-May,3.57,56.7,67.9,45.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-06,1885,6-Jun,3.28,67.2,80.2,54.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-07,1885,7-Jul,2.87,73.7,86,61.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-08,1885,8-Aug,8.5,69.4,79.7,59,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-09,1885,9-Sep,0.67,60.8,72.3,49.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-10,1885,10-Oct,4.78,51.5,61.6,41.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-11,1885,11-Nov,4.95,42.5,50,35,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1885-12,1885,12-Dec,3.54,33,41.5,24.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-01,1886,1-Jan,5.22,23.5,31.5,15.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-02,1886,2-Feb,7.71,25.8,35.2,16.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-03,1886,3-Mar,3.44,35,42.8,27.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-04,1886,4-Apr,3.43,51.6,63.5,39.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-05,1886,5-May,4.19,58,69.5,46.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-06,1886,6-Jun,3.17,64.3,75.4,53.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-07,1886,7-Jul,4.28,71.9,83.9,59.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-08,1886,8-Aug,3.24,69.4,80.9,57.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-09,1886,9-Sep,2.17,63.2,73.3,53.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-10,1886,10-Oct,3.3,52,62.2,41.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-11,1886,11-Nov,4.33,41.4,51.2,31.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1886-12,1886,12-Dec,5.73,25.3,33.8,16.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-01,1887,1-Jan,7.08,22.4,31.8,12.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-02,1887,2-Feb,7.56,28.8,36.6,21,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-03,1887,3-Mar,4.62,30.2,38.5,21.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-04,1887,4-Apr,2.7,45.4,56.6,34.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-05,1887,5-May,0.22,62.9,75.9,49.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-06,1887,6-Jun,6.13,66.8,78.6,55,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-07,1887,7-Jul,6.99,76.6,86.5,66.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-08,1887,8-Aug,4.06,68.6,78.9,58.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-09,1887,9-Sep,1.76,59,69,48.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-10,1887,10-Oct,3.32,50.7,61.1,40.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-11,1887,11-Nov,2.37,40.1,50.5,29.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1887-12,1887,12-Dec,4.86,30.6,38.6,22.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-01,1888,1-Jan,5.99,17.6,26.7,8.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-02,1888,2-Feb,4.3,25.3,35.5,15.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-03,1888,3-Mar,8.78,29.3,38.7,19.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-04,1888,4-Apr,1.72,44.6,56.5,32.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-05,1888,5-May,4.38,56.7,66.2,47.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-06,1888,6-Jun,1.86,69.3,82.2,56.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-07,1888,7-Jul,1.92,68.8,80.2,57.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-08,1888,8-Aug,6.15,69.8,79.8,59.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-09,1888,9-Sep,7.81,59.8,67.9,51.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-10,1888,10-Oct,6.11,46.6,55,38.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-11,1888,11-Nov,6.17,42.1,50.3,33.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1888-12,1888,12-Dec,5.56,32.5,40.9,24.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-01,1889,1-Jan,5.64,33,40.7,25.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-02,1889,2-Feb,1.81,24,32.5,15.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-03,1889,3-Mar,2.55,38,46.5,29.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-04,1889,4-Apr,4.04,49.1,58.8,39.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-05,1889,5-May,3.32,60.9,72.2,49.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-06,1889,6-Jun,3.35,68.3,77.6,58.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-07,1889,7-Jul,13.43,70.1,79.1,61.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-08,1889,8-Aug,5.12,68.1,77.1,59,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-09,1889,9-Sep,4.72,63,70.7,55.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-10,1889,10-Oct,5.48,48.5,57.1,39.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-11,1889,11-Nov,7.03,43.3,50.6,36.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1889-12,1889,12-Dec,2.79,36.6,45.7,27.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-01,1890,1-Jan,2.83,34.7,43.6,25.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-02,1890,2-Feb,3.28,35,43.6,26.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-03,1890,3-Mar,7.45,33.6,41.8,25.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-04,1890,4-Apr,2.84,47.4,59,35.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-05,1890,5-May,5.51,58.2,68.6,47.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-06,1890,6-Jun,2.16,66.6,76.9,56.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-07,1890,7-Jul,4.16,70.3,80.6,60,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-08,1890,8-Aug,4.66,69.3,77.7,60.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-09,1890,9-Sep,5.97,62.5,71.2,53.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-10,1890,10-Oct,7.52,50.1,57.6,42.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-11,1890,11-Nov,0.75,40.6,50,31.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1890-12,1890,12-Dec,4.46,25.5,33.4,17.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-01,1891,1-Jan,9.24,29.3,36.5,22,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-02,1891,2-Feb,,32.1,40,24.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-03,1891,3-Mar,,35.1,43.2,26.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-04,1891,4-Apr,3.9,49.5,60.1,38.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-05,1891,5-May,,57.2,68.9,45.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-06,1891,6-Jun,2.7,67.1,78.5,55.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-07,1891,7-Jul,4.99,68.3,78.1,58.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-08,1891,8-Aug,3.52,71.3,80.4,62.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-09,1891,9-Sep,3.46,66.5,75.8,57.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-10,1891,10-Oct,4.24,50.3,59.3,41.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1891-12,1891,12-Dec,5.08,39.1,48.4,29.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-06,1892,6-Jun,1.61,71.3,80.9,61.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-07,1892,7-Jul,2.63,73.9,86.5,61.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-08,1892,8-Aug,3.91,72.9,84.2,61.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-09,1892,9-Sep,2.24,62.4,74.6,50.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-10,1892,10-Oct,1.39,52.5,64.2,40.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-11,1892,11-Nov,,40.3,49,31.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1892-12,1892,12-Dec,,27.7,36,19.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-01,1893,1-Jan,,19.5,29.2,9.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-02,1893,2-Feb,7.53,27.2,37.8,16.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-03,1893,3-Mar,5.39,34,43.1,24.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-04,1893,4-Apr,4.33,45.6,55.9,35.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-05,1893,5-May,7.2,58.1,68.6,47.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-06,1893,6-Jun,3,67.2,77.3,57,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-07,1893,7-Jul,,70,81.4,58.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-08,1893,8-Aug,4.99,70.3,80.9,59.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-09,1893,9-Sep,2.55,58.7,70,47.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-10,1893,10-Oct,5.54,54,64.7,43.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-11,1893,11-Nov,,39.8,49.4,30.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1893-12,1893,12-Dec,4.15,28.7,36.7,20.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-01,1894,1-Jan,2.83,28.7,36.3,21,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-02,1894,2-Feb,4.18,25.7,37,14.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-03,1894,3-Mar,1.71,41.7,51.8,31.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-04,1894,4-Apr,2.52,47.6,57.9,37.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-05,1894,5-May,5.29,59,71.3,46.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-06,1894,6-Jun,0.39,68.1,79.5,56.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-07,1894,7-Jul,1.11,74.4,86,62.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-08,1894,8-Aug,1.33,69.1,79.6,58.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-09,1894,9-Sep,3.55,66.4,76.3,56.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-10,1894,10-Oct,8,53.1,62.2,44,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-11,1894,11-Nov,5.72,36.7,44.1,29.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1894-12,1894,12-Dec,4.85,29.9,38.2,21.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-01,1895,1-Jan,5.66,25.1,33.9,16.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-02,1895,2-Feb,0.99,20.9,31.4,10.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-03,1895,3-Mar,2.59,34.8,43.4,26.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-04,1895,4-Apr,4.14,47.3,57.6,36.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-05,1895,5-May,2.12,60.6,73.4,47.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-06,1895,6-Jun,4.23,70.3,81.3,59.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-07,1895,7-Jul,3.98,69.3,79.6,59.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-08,1895,8-Aug,4.57,71.9,82.6,61.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-09,1895,9-Sep,2.39,66.3,78.1,54.4,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-10,1895,10-Oct,4.04,47.9,59.1,36.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-11,1895,11-Nov,7.36,44.6,54,35.1,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1895-12,1895,12-Dec,3.89,33.9,42.2,25.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-01,1896,1-Jan,1.8,23.9,31.9,15.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-02,1896,2-Feb,,29.4,37.9,20.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-03,1896,3-Mar,,31.4,40.2,22.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-04,1896,4-Apr,1.09,50.7,63.8,37.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-05,1896,5-May,3,62.5,75,50,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-06,1896,6-Jun,4.36,65.9,76.4,55.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-07,1896,7-Jul,2.72,73.5,82.8,64.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-08,1896,8-Aug,2.59,71.6,82.6,60.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-09,1896,9-Sep,5.26,62.5,72.4,52.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-10,1896,10-Oct,4.31,49.7,58.8,40.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-11,1896,11-Nov,3.04,46.7,57.1,36.2,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1896-12,1896,12-Dec,2.62,28.3,37.9,18.6,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-01,1897,1-Jan,5.68,27.5,36.5,18.5,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-02,1897,2-Feb,3.28,29,38.3,19.7,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-03,1897,3-Mar,3.83,37.6,46.9,28.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-04,1897,4-Apr,2.65,49.1,61.3,36.9,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-05,1897,5-May,5,59.4,69.9,48.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-06,1897,6-Jun,3.52,64.5,75.7,53.3,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-07,1897,7-Jul,13.36,73.2,81.4,65,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-08,1897,8-Aug,7.12,69.4,79.1,59.8,,,,,,,
USC00064767,"MIDDLETOWN 4 W, CT US",1897-09,1897,9-Sep,2.44,63.5,74.7,52.3,,,,,,,
