wrkstat,partyid,polviews,happy,rincome,born,race,sex,degree,age,marital,hrs1,pres12
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,Refused,Yes,White,Female,Junior college,36,Never married,40,Obama
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,89 or older,Widowed,Not applicable,Not applicable
Retired,"Ind,near rep",Conservative,Not too happy,$1000 to 2999,Yes,White,Female,High school,64,Separated,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Female,Bachelor,38,Never married,50,Not applicable
Retired,Strong republican,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,High school,62,Widowed,Not applicable,Not applicable
Keeping house,Not str republican,Conservative,Very happy,Not applicable,Yes,White,Female,Bachelor,62,Married,Not applicable,Romney
Keeping house,Independent,Extremely liberal,Very happy,Not applicable,Yes,White,Female,Junior college,65,Married,Not applicable,No answer
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,Don't know,Yes,White,Male,High school,60,Married,43,Romney
"Unempl, laid off","Ind,near rep",Moderate,Pretty happy,Not applicable,Yes,White,Female,Bachelor,47,Divorced,Not applicable,Obama
Working fulltime,"Ind,near rep",Extrmly conservative,Pretty happy,$25000 or more,Yes,White,Male,Junior college,62,Divorced,40,Romney
Working fulltime,Strong democrat,Liberal,Very happy,$25000 or more,Yes,White,Female,Bachelor,51,Married,40,Obama
Working parttime,Not str democrat,Slightly liberal,Pretty happy,Refused,Yes,White,Female,Bachelor,43,Married,45,Obama
Working fulltime,"Ind,near rep",Moderate,Pretty happy,Refused,No,Other,Male,High school,47,Married,60,Not applicable
Working fulltime,Independent,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,57,Divorced,40,Romney
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,30,Never married,30,Obama
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Male,Graduate,39,Married,60,Obama
Working fulltime,Independent,Slightly liberal,Very happy,$25000 or more,Yes,White,Female,Junior college,37,Never married,40,Don't know
Working parttime,Independent,No answer,Very happy,Refused,Yes,Other,Female,High school,52,Married,10,Not applicable
Working parttime,Not str democrat,Liberal,Not too happy,$15000 - 19999,Yes,Other,Female,Graduate,61,Never married,45,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,58,Married,30,Other candidate (specify)
Working parttime,Not str democrat,Moderate,Very happy,Not applicable,Yes,White,Male,Junior college,31,Never married,35,Obama
Working parttime,Strong democrat,Moderate,Pretty happy,$20000 - 24999,No,Other,Female,Bachelor,52,Married,20,Obama
Keeping house,Strong democrat,Moderate,Very happy,Not applicable,No,White,Female,Junior college,46,Married,Not applicable,Not applicable
Working fulltime,Not str republican,Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,25,Married,40,Not applicable
Working fulltime,Independent,Liberal,Very happy,$25000 or more,Yes,Other,Male,Lt high school,54,Widowed,42,Not applicable
Working fulltime,"Ind,near dem",Extrmly conservative,Very happy,$25000 or more,No,Other,Female,High school,33,Divorced,40,Not applicable
Working fulltime,Not str democrat,Slightly liberal,Very happy,Not applicable,No,Other,Male,Graduate,33,Married,45,Not applicable
Working parttime,Not str democrat,Slightly liberal,Not too happy,$10000 - 14999,Yes,White,Female,High school,61,Divorced,16,Obama
Retired,Strong democrat,Slghtly conservative,Pretty happy,Not applicable,No answer,White,Female,No answer,65,Widowed,Not applicable,Obama
Working fulltime,Not str democrat,Conservative,Not too happy,Don't know,No,White,Female,High school,53,Never married,40,Obama
Keeping house,Strong democrat,Extrmly conservative,Not too happy,Not applicable,No,Other,Female,Lt high school,66,Widowed,Not applicable,Not applicable
Temp not working,Not str democrat,Liberal,Not too happy,Not applicable,Yes,White,Female,High school,41,Never married,Not applicable,Obama
Keeping house,"Ind,near dem",Moderate,Pretty happy,$1000 to 2999,Yes,White,Female,High school,57,Divorced,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Male,High school,50,Never married,40,Obama
Retired,Strong democrat,Slghtly conservative,Not too happy,Not applicable,Yes,Black,Male,High school,75,Married,Not applicable,Obama
Working parttime,Strong democrat,Moderate,Not too happy,Not applicable,Yes,Black,Female,Lt high school,22,Never married,60,Not applicable
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$15000 - 19999,Yes,White,Male,Lt high school,27,Never married,60,Not applicable
Working parttime,Independent,Don't know,Pretty happy,Not applicable,Yes,White,Female,Lt high school,20,Separated,20,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Graduate,55,Divorced,40,Obama
Temp not working,Independent,Slightly liberal,Not too happy,Not applicable,No,White,Female,High school,49,Never married,Not applicable,Obama
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,Other,Female,High school,51,Divorced,40,Obama
Working parttime,Not str democrat,Extremely liberal,Very happy,$25000 or more,No,White,Male,Bachelor,56,Separated,20,Not applicable
Keeping house,Independent,Moderate,Pretty happy,Not applicable,No,Other,Female,Graduate,41,Married,Not applicable,Obama
Working parttime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,67,Divorced,16,No answer
Working parttime,Strong democrat,Moderate,Pretty happy,$5000 to 5999,Yes,Black,Female,High school,38,Never married,10,Obama
Retired,Independent,Conservative,Not too happy,$25000 or more,No,Other,Female,Graduate,76,Widowed,Not applicable,5
Other,Not str democrat,Liberal,Not too happy,Not applicable,Yes,Black,Male,Junior college,66,Divorced,Not applicable,Not applicable
Retired,"Ind,near rep",Extrmly conservative,Pretty happy,Not applicable,No,Other,Female,Bachelor,84,Never married,Not applicable,Romney
Keeping house,Independent,Extrmly conservative,Not too happy,Not applicable,Yes,Black,Male,Lt high school,32,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$4000 to 4999,Yes,Black,Male,Bachelor,46,Never married,40,Obama
School,Not str democrat,Conservative,Very happy,Not applicable,No,Other,Male,High school,25,Never married,Not applicable,Not applicable
Retired,Strong democrat,Slightly liberal,Pretty happy,Not applicable,Yes,White,Male,Graduate,67,Married,Not applicable,Obama
Working fulltime,Independent,Extremely liberal,Pretty happy,$25000 or more,Yes,Black,Male,High school,34,Married,47,Not applicable
Keeping house,Independent,Slghtly conservative,Not too happy,Not applicable,No,Other,Female,Lt high school,29,Married,Not applicable,Not applicable
Keeping house,Independent,Moderate,Pretty happy,Not applicable,No,White,Female,Lt high school,51,Never married,Not applicable,Not applicable
"Unempl, laid off",Strong democrat,Moderate,Pretty happy,$15000 - 19999,No,Other,Female,High school,39,Never married,Not applicable,Obama
Working fulltime,Independent,Moderate,Pretty happy,$15000 - 19999,No,Other,Female,Lt high school,39,Never married,40,Not applicable
Working parttime,Independent,Conservative,Very happy,$15000 - 19999,No,White,Female,Lt high school,51,Divorced,15,Not applicable
Working fulltime,Not str democrat,Moderate,Very happy,$20000 - 24999,No,Other,Female,Lt high school,40,Married,40,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$15000 - 19999,Yes,White,Male,Lt high school,32,Never married,40,Obama
Working fulltime,Not str democrat,Liberal,Very happy,$25000 or more,Yes,White,Male,Junior college,38,Married,40,Not applicable
Retired,Strong democrat,Conservative,Very happy,Not applicable,Yes,White,Female,High school,79,Never married,Not applicable,Obama
Working fulltime,"Ind,near rep",Slghtly conservative,Very happy,$25000 or more,No,Other,Male,Bachelor,49,Never married,40,Romney
Working parttime,"Ind,near dem",Moderate,Pretty happy,$3000 to 3999,Yes,White,Male,Junior college,22,Never married,25,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,Black,Male,Bachelor,30,Married,40,No answer
Working fulltime,Not str democrat,Slghtly conservative,Pretty happy,Refused,No,White,Male,High school,47,Married,60,Not applicable
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,55,Separated,35,Not applicable
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Male,Bachelor,30,Never married,75,Romney
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Male,Bachelor,29,Never married,45,Obama
Working fulltime,Not str democrat,Slightly liberal,Very happy,$6000 to 6999,Yes,White,Male,Bachelor,37,Never married,60,Obama
Working parttime,Not str democrat,Liberal,Pretty happy,$20000 - 24999,Yes,White,Female,Graduate,67,Never married,10,Obama
Working fulltime,Not str republican,Moderate,Pretty happy,$25000 or more,No,Other,Female,Bachelor,38,Separated,40,Not applicable
Keeping house,"Ind,near rep",Moderate,Not too happy,Not applicable,Yes,White,Female,High school,81,Widowed,Not applicable,Not applicable
Working parttime,"Ind,near dem",Moderate,Pretty happy,$4000 to 4999,Yes,Black,Male,Junior college,35,Separated,12,Obama
"Unempl, laid off","Ind,near rep",Slghtly conservative,Not too happy,Not applicable,No,White,Male,Graduate,46,Married,Not applicable,Not applicable
Working fulltime,Independent,No answer,Very happy,$25000 or more,Yes,White,Male,High school,37,Divorced,55,Not applicable
School,Not str republican,Slghtly conservative,Pretty happy,Not applicable,Yes,Other,Male,High school,21,Never married,Not applicable,Not applicable
Working parttime,No answer,Moderate,Very happy,Refused,Yes,White,Male,High school,43,Married,6,No answer
Keeping house,Independent,Moderate,Very happy,Not applicable,Yes,White,Female,Bachelor,45,Married,Not applicable,Romney
Retired,Strong republican,Slghtly conservative,Very happy,Not applicable,Yes,White,Female,Graduate,76,Divorced,Not applicable,Romney
Retired,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,77,Married,Not applicable,Romney
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,61,Never married,40,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$20000 - 24999,No,White,Female,Lt high school,45,Never married,50,Not applicable
Working fulltime,Strong republican,Liberal,Very happy,$25000 or more,Yes,White,Male,High school,47,Divorced,45,Romney
Working fulltime,"Ind,near dem",Liberal,Very happy,$25000 or more,Yes,White,Male,Bachelor,41,Married,40,Other candidate (specify)
School,Strong republican,No answer,Pretty happy,Not applicable,Yes,Black,Female,High school,19,Never married,Not applicable,Not applicable
Working fulltime,Independent,Extrmly conservative,Very happy,$20000 - 24999,No,Other,Male,Lt high school,50,Married,42,Not applicable
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$20000 - 24999,Yes,Other,Male,High school,25,Never married,50,Other candidate (specify)
Working fulltime,Not str republican,Slghtly conservative,Very happy,Refused,Yes,White,Male,Graduate,45,Married,50,Not applicable
Working parttime,"Ind,near dem",Extrmly conservative,Pretty happy,Not applicable,Yes,White,Male,Junior college,21,Never married,30,Not applicable
Working fulltime,Not str republican,Moderate,Very happy,$25000 or more,No,Other,Female,High school,48,Married,40,Not applicable
Working fulltime,Strong democrat,Slightly liberal,Pretty happy,$25000 or more,No,Other,Male,Graduate,25,Never married,40,Not applicable
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Male,Bachelor,31,Never married,40,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,33,Never married,40,Not applicable
Retired,Not str republican,Conservative,Pretty happy,Not applicable,Yes,White,Male,Bachelor,72,Married,Not applicable,Romney
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,70,Widowed,Not applicable,Romney
Retired,"Ind,near rep",Moderate,Very happy,Not applicable,Yes,White,Female,Bachelor,66,Married,Not applicable,Romney
